[2024-01-02 16:17:01,508][kospeech.utils][INFO] - audio:
  audio_extension: pcm
  sample_rate: 16000
  frame_length: 20
  frame_shift: 10
  normalize: true
  del_silence: true
  feature_extract_by: kaldi
  time_mask_num: 4
  freq_mask_num: 2
  spec_augment: true
  input_reverse: false
  transform_method: fbank
  n_mels: 80
  freq_mask_para: 18
model:
  architecture: deepspeech2
  teacher_forcing_ratio: 1.0
  teacher_forcing_step: 0.0
  min_teacher_forcing_ratio: 1.0
  dropout: 0.3
  bidirectional: false
  joint_ctc_attention: false
  max_len: 400
  use_bidirectional: true
  rnn_type: gru
  hidden_dim: 1024
  activation: hardtanh
  num_encoder_layers: 3
train:
  dataset: kspon
  dataset_path: /home/use08174/stt/kospeech/dataset/kspon/korean_audio/KSponSpeech
  transcripts_path: ../../../data/transcripts.txt
  output_unit: character
  batch_size: 32
  save_result_every: 1000
  checkpoint_every: 5000
  print_every: 10
  mode: train
  num_workers: 4
  use_cuda: true
  num_threads: 2
  init_lr_scale: 0.01
  final_lr_scale: 0.05
  max_grad_norm: 400
  weight_decay: 1.0e-05
  total_steps: 200000
  seed: 777
  resume: false
  optimizer: adam
  init_lr: 1.0e-06
  final_lr: 1.0e-06
  peak_lr: 0.0001
  warmup_steps: 400
  num_epochs: 70
  reduction: mean
  lr_scheduler: tri_stage_lr_scheduler

[2024-01-02 16:17:02,846][kospeech.utils][INFO] - Operating System : Linux 3.10.0-1160.15.2.el7.x86_64
[2024-01-02 16:17:02,847][kospeech.utils][INFO] - Processor : x86_64
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - device : NVIDIA GeForce RTX 3090
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - CUDA is available : True
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - CUDA version : 12.1
[2024-01-02 16:17:02,858][kospeech.utils][INFO] - PyTorch version : 2.1.2+cu121
[2024-01-02 16:17:02,886][kospeech.utils][INFO] - split dataset start !!
[2024-01-02 16:17:03,314][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,342][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,370][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,519][kospeech.utils][INFO] - Applying Spec Augmentation...
[2024-01-02 16:17:03,545][kospeech.utils][INFO] - split dataset complete !!
[2024-01-02 16:17:08,215][kospeech.utils][INFO] - start
[2024-01-02 16:17:08,215][kospeech.utils][INFO] - Epoch 0 start
[2024-01-02 16:17:24,315][kospeech.utils][INFO] - step:   10/3624, loss: 33.917007, cer: 14.83, elapsed: 15.80s 0.26m 0.00h, lr: 0.000002
[2024-01-02 16:33:33,615][kospeech.utils][INFO] - step: 1360/3624, loss: 2.865129, cer: 1.02, elapsed: 7.67s 16.42m 0.27h, lr: 0.000100
[2024-01-02 16:33:40,863][kospeech.utils][INFO] - step: 1370/3624, loss: 2.641081, cer: 1.01, elapsed: 7.25s 16.54m 0.28h, lr: 0.000100
[2024-01-02 16:33:48,219][kospeech.utils][INFO] - step: 1380/3624, loss: 2.862774, cer: 1.01, elapsed: 7.36s 16.66m 0.28h, lr: 0.000100
[2024-01-02 16:33:55,845][kospeech.utils][INFO] - step: 1390/3624, loss: 2.705689, cer: 1.01, elapsed: 7.63s 16.79m 0.28h, lr: 0.000100
[2024-01-02 16:34:03,122][kospeech.utils][INFO] - step: 1400/3624, loss: 2.646903, cer: 1.01, elapsed: 7.26s 16.91m 0.28h, lr: 0.000100
[2024-01-02 16:34:10,415][kospeech.utils][INFO] - step: 1410/3624, loss: 2.779805, cer: 1.01, elapsed: 7.29s 17.03m 0.28h, lr: 0.000100
[2024-01-02 16:34:17,034][kospeech.utils][INFO] - step: 1420/3624, loss: 2.564552, cer: 1.00, elapsed: 6.62s 17.14m 0.29h, lr: 0.000100
[2024-01-02 16:34:24,094][kospeech.utils][INFO] - step: 1430/3624, loss: 2.851811, cer: 1.00, elapsed: 7.06s 17.26m 0.29h, lr: 0.000100
[2024-01-02 16:34:31,404][kospeech.utils][INFO] - step: 1440/3624, loss: 3.088430, cer: 1.00, elapsed: 7.31s 17.38m 0.29h, lr: 0.000100
[2024-01-02 16:34:38,026][kospeech.utils][INFO] - step: 1450/3624, loss: 2.604972, cer: 1.00, elapsed: 6.62s 17.49m 0.29h, lr: 0.000100
[2024-01-02 16:34:45,292][kospeech.utils][INFO] - step: 1460/3624, loss: 2.721749, cer: 1.00, elapsed: 7.27s 17.61m 0.29h, lr: 0.000100
[2024-01-02 16:34:51,895][kospeech.utils][INFO] - step: 1470/3624, loss: 2.708402, cer: 0.99, elapsed: 6.60s 17.72m 0.30h, lr: 0.000100
[2024-01-02 16:34:58,921][kospeech.utils][INFO] - step: 1480/3624, loss: 2.599467, cer: 0.99, elapsed: 7.03s 17.84m 0.30h, lr: 0.000100
[2024-01-02 16:35:05,656][kospeech.utils][INFO] - step: 1490/3624, loss: 2.582280, cer: 0.99, elapsed: 6.73s 17.95m 0.30h, lr: 0.000100
[2024-01-02 16:35:11,763][kospeech.utils][INFO] - step: 1500/3624, loss: 2.818096, cer: 0.99, elapsed: 6.11s 18.05m 0.30h, lr: 0.000100
[2024-01-02 16:35:19,095][kospeech.utils][INFO] - step: 1510/3624, loss: 2.546021, cer: 0.99, elapsed: 7.33s 18.18m 0.30h, lr: 0.000100
[2024-01-02 16:35:25,441][kospeech.utils][INFO] - step: 1520/3624, loss: 2.705458, cer: 0.99, elapsed: 6.35s 18.28m 0.30h, lr: 0.000100
[2024-01-02 16:35:32,095][kospeech.utils][INFO] - step: 1530/3624, loss: 2.586725, cer: 0.98, elapsed: 6.65s 18.39m 0.31h, lr: 0.000100
[2024-01-02 16:35:39,210][kospeech.utils][INFO] - step: 1540/3624, loss: 2.397590, cer: 0.98, elapsed: 7.11s 18.51m 0.31h, lr: 0.000100
[2024-01-02 16:35:45,773][kospeech.utils][INFO] - step: 1550/3624, loss: 2.698087, cer: 0.98, elapsed: 6.56s 18.62m 0.31h, lr: 0.000100
[2024-01-02 16:35:52,930][kospeech.utils][INFO] - step: 1560/3624, loss: 2.721668, cer: 0.98, elapsed: 7.16s 18.74m 0.31h, lr: 0.000100
[2024-01-02 16:35:59,830][kospeech.utils][INFO] - step: 1570/3624, loss: 2.664045, cer: 0.98, elapsed: 6.90s 18.86m 0.31h, lr: 0.000100
[2024-01-02 16:36:06,267][kospeech.utils][INFO] - step: 1580/3624, loss: 2.684006, cer: 0.98, elapsed: 6.44s 18.96m 0.32h, lr: 0.000100
[2024-01-02 16:36:12,844][kospeech.utils][INFO] - step: 1590/3624, loss: 2.772281, cer: 0.97, elapsed: 6.58s 19.07m 0.32h, lr: 0.000100
[2024-01-02 16:36:20,223][kospeech.utils][INFO] - step: 1600/3624, loss: 2.672504, cer: 0.97, elapsed: 7.38s 19.20m 0.32h, lr: 0.000100
[2024-01-02 16:36:26,649][kospeech.utils][INFO] - step: 1610/3624, loss: 2.716167, cer: 0.97, elapsed: 6.43s 19.30m 0.32h, lr: 0.000100
[2024-01-02 16:36:32,740][kospeech.utils][INFO] - step: 1620/3624, loss: 2.395519, cer: 0.97, elapsed: 6.09s 19.40m 0.32h, lr: 0.000100
[2024-01-02 16:36:39,498][kospeech.utils][INFO] - step: 1630/3624, loss: 2.583798, cer: 0.97, elapsed: 6.76s 19.52m 0.33h, lr: 0.000100
[2024-01-02 16:36:45,915][kospeech.utils][INFO] - step: 1640/3624, loss: 2.474427, cer: 0.97, elapsed: 6.42s 19.62m 0.33h, lr: 0.000100
[2024-01-02 16:36:52,765][kospeech.utils][INFO] - step: 1650/3624, loss: 2.665935, cer: 0.96, elapsed: 6.85s 19.74m 0.33h, lr: 0.000100
[2024-01-02 16:36:59,694][kospeech.utils][INFO] - step: 1660/3624, loss: 2.746240, cer: 0.96, elapsed: 6.93s 19.85m 0.33h, lr: 0.000100
[2024-01-02 16:37:07,400][kospeech.utils][INFO] - step: 1670/3624, loss: 2.577196, cer: 0.96, elapsed: 7.71s 19.98m 0.33h, lr: 0.000100
[2024-01-02 16:37:13,508][kospeech.utils][INFO] - step: 1680/3624, loss: 2.491652, cer: 0.96, elapsed: 6.11s 20.08m 0.33h, lr: 0.000100
